athlete,gender,timestamp,distance (m),elapsed time (s),elevation gain (m),average heart rate (bpm),M/S,K/H,T/K,distance_group
18042525,M,20/01/2017 17:23,964.8,225,0.0,126.7,4.287999999999999,15.436799999999998,3.8868159203980106,500-1000
7191483,M,17/01/2018 19:11,472.5,144,2.1,,3.28125,11.8125,5.079365079365079,100-500
10825360,M,10/02/2019 08:48,385.0,124,0.0,178.1,3.1048387096774195,11.17741935483871,5.367965367965367,100-500
10825360,M,10/02/2019 08:05,988.0,397,10.0,150.9,2.4886649874055418,8.95919395465995,6.697031039136302,500-1000
10825360,M,02/10/2016 15:09,914.9,300,31.0,,3.0496666666666665,10.9788,5.465078150617554,500-1000
10825360,M,30/03/2016 17:17,406.0,149,9.0,146.8,2.7248322147651005,9.809395973154365,6.1165845648604265,100-500
1776170,M,27/04/2019 11:09,618.0,186,61.6,,3.3225806451612905,11.961290322580648,5.016181229773462,500-1000
1776170,M,27/04/2019 10:52,281.8,18,108.8,,15.655555555555557,56.36000000000001,1.06458481192335,100-500
1776170,M,27/04/2019 10:46,526.0,194,14.0,,2.711340206185567,9.760824742268042,6.147021546261089,500-1000
1776170,M,27/04/2019 10:11,961.1,305,59.2,,3.1511475409836067,11.344131147540985,5.28907848645649,500-1000
1776170,M,09/12/2018 17:00,206.4,81,1.0,,2.5481481481481483,9.173333333333334,6.540697674418604,100-500
1776170,M,08/10/2017 15:30,916.6,319,4.0,,2.873354231974922,10.344075235109718,5.800421848861735,500-1000
1776170,M,13/12/2015 08:21,404.1,181,2.0,111.9,2.232596685082873,8.037348066298343,7.465148890538646,100-500
20181492,F,14/09/2019 06:13,780.0,284,13.6,,2.7464788732394365,9.887323943661972,6.068376068376068,500-1000
20181492,F,05/05/2019 08:41,859.5,298,17.0,,2.884228187919463,10.383221476510068,5.77855342253248,500-1000
20181492,F,05/05/2019 06:33,581.8,190,2.0,,3.0621052631578944,11.02357894736842,5.4428784232840615,500-1000
5861500,M,26/10/2019 13:45,706.5,283,4.0,142.1,2.4964664310954063,8.987279151943463,6.676102854446803,500-1000
5861500,M,12/06/2019 16:57,526.3,196,0.0,140.0,2.685204081632653,9.66673469387755,6.206852872252836,500-1000
5861500,M,25/05/2019 13:19,283.0,107,1.0,139.8,2.6448598130841123,9.521495327102803,6.30153121319199,100-500
5861500,M,21/04/2018 13:50,758.3,311,23.0,161.8,2.438263665594856,8.77774919614148,6.835465295177809,500-1000
5861500,M,08/04/2018 08:58,781.2,337,0.0,142.4,2.318100890207716,8.345163204747776,7.18979348011606,500-1000
5861500,M,21/10/2017 12:41,866.6,365,0.0,156.8,2.374246575342466,8.547287671232878,7.019770751596275,500-1000
5861500,M,17/06/2017 14:40,73.2,31,0.0,,2.361290322580645,8.500645161290322,7.058287795992714,0-100
5421161,M,29/09/2019 08:26,582.3,203,7.3,179.4,2.8684729064039405,10.326502463054188,5.8102925181750535,500-1000
5421161,M,12/04/2017 17:53,794.4,224,0.0,132.5,3.546428571428572,12.767142857142856,4.699563611950319,500-1000
8180382,M,07/09/2019 12:29,604.0,250,0.0,128.0,2.416,8.6976,6.898454746136865,500-1000
8180382,M,15/09/2017 16:51,499.7,111,39.4,,4.501801801801801,16.206486486486487,3.70222133279968,100-500
8180382,M,15/09/2017 16:49,690.2,188,42.2,,3.671276595744681,13.216595744680852,4.539746933256061,500-1000
8180382,M,09/09/2017 08:31,470.7,109,37.6,195.5,4.318348623853211,15.54605504587156,3.859500035408258,100-500
8180382,M,27/11/2016 08:47,697.1,141,0.0,,4.943971631205674,17.798297872340427,3.37110887964424,500-1000
8180382,M,27/11/2016 08:35,691.5,123,0.0,,5.621951219512195,20.2390243902439,2.9645697758496024,500-1000
8180382,M,26/09/2016 17:28,408.3,122,0.0,,3.34672131147541,12.048196721311475,4.979998367213649,100-500
8180382,M,18/09/2015 09:54,559.4,218,95.0,,2.5660550458715594,9.237798165137614,6.49505422476463,500-1000
8180382,M,29/01/2015 18:22,926.8,308,2.0,,3.009090909090909,10.832727272727272,5.53877139979859,500-1000
21299972,F,05/04/2019 16:06,298.6,55,0.0,121.6,5.42909090909091,19.544727272727275,3.069881670015628,100-500
21299972,F,09/12/2017 23:05,224.4,98,0.0,133.7,2.289795918367347,8.243265306122447,7.278669043374927,100-500
3539760,M,16/07/2019 16:14,743.6,294,39.6,120.9,2.5292517006802724,9.10530612244898,6.589564281871973,500-1000
3539760,M,04/06/2019 18:13,910.5,363,7.1,128.1,2.508264462809917,9.029752066115703,6.644700713893465,500-1000
3539760,M,25/05/2019 08:32,501.7,48,0.0,113.1,10.452083333333333,37.6275,1.5945784333266892,500-1000
3539760,M,10/02/2019 08:48,704.2,254,2.3,127.7,2.77244094488189,9.980787401574805,6.011549749124302,500-1000
3539760,M,16/04/2018 08:03,931.5,336,11.2,136.9,2.7723214285714284,9.98035714285714,6.011808910359636,500-1000
3539760,M,08/03/2018 12:10,340.1,127,0.0,163.6,2.677952755905512,9.640629921259842,6.22365970792904,100-500
3539760,M,26/04/2017 14:14,503.5,184,0.0,127.9,2.7364130434782608,9.85108695652174,6.090698444223767,500-1000
7947798,M,29/01/2016 19:26,119.1,39,0.0,107.8,3.0538461538461537,10.993846153846151,5.4575986565911005,100-500
7947798,M,03/01/2016 09:59,968.4,319,107.7,,3.035736677115988,10.928652037617557,5.4901555830923865,500-1000
7947798,M,03/01/2016 08:35,148.2,7,0.0,,21.17142857142857,76.21714285714286,0.7872244714349977,100-500
7947798,M,16/12/2015 19:10,904.5,331,0.0,126.1,2.7326283987915407,9.837462235649548,6.099133959830477,500-1000
7947798,M,15/11/2015 08:13,114.8,41,0.0,133.5,2.8,10.08,5.9523809523809526,100-500
7947798,M,23/10/2015 17:42,200.8,57,0.0,,3.52280701754386,12.682105263157895,4.731075697211155,100-500
7947798,M,20/06/2015 09:55,329.2,120,0.0,,2.743333333333333,9.876,6.075334143377886,100-500
7947798,M,14/05/2015 18:54,263.5,69,0.0,,3.818840579710145,13.747826086956522,4.364326375711575,100-500
7947798,M,14/05/2015 18:52,229.5,47,0.0,,4.882978723404255,17.578723404255317,3.413217138707336,100-500
7947798,M,05/05/2015 20:05,66.1,16,0.0,,4.13125,14.8725,4.034291477559254,0-100
7947798,M,17/02/2015 18:52,186.4,14,0.0,,13.314285714285717,47.931428571428576,1.2517882689556508,100-500
36288626,F,29/11/2018 18:29,385.7,95,0.0,176.0,4.06,14.615999999999998,4.1050903119868645,100-500
36288626,F,29/11/2018 18:26,393.9,100,0.0,174.1,3.939,14.180399999999995,4.231192350004232,100-500
36288626,F,29/11/2018 18:22,391.3,99,0.0,173.9,3.9525252525252528,14.22909090909091,4.2167135190391,100-500
36288626,F,29/11/2018 18:19,394.2,101,0.0,168.9,3.902970297029703,14.050693069306927,4.270251987146965,100-500
36288626,F,29/11/2018 18:10,803.9,203,2.1,167.4,3.960098522167488,14.256354679802955,4.208649500352449,500-1000
36288626,F,29/11/2018 17:56,396.0,115,2.0,156.8,3.4434782608695653,12.396521739130437,4.840067340067339,100-500
22972731,F,08/07/2019 13:16,485.0,97,8.0,,5.0,18.0,3.333333333333333,100-500
22972731,F,23/06/2019 13:19,340.0,62,5.0,,5.483870967741935,19.741935483870964,3.03921568627451,100-500
25372889,M,07/01/2018 16:40,50.0,13,11.6,,3.8461538461538463,13.846153846153843,4.333333333333334,0-100
6215611,M,15/06/2019 09:50,651.7,209,7.0,133.6,3.1181818181818186,11.225454545454548,5.344995140913507,500-1000
6215611,M,20/08/2018 16:09,332.9,99,3.0,,3.362626262626262,12.105454545454544,4.9564433763893065,100-500
6215611,M,22/01/2018 07:15,564.7,157,0.0,147.3,3.596815286624204,12.948535031847136,4.633728823564134,500-1000
6215611,M,15/10/2017 10:46,699.6,285,8.2,135.5,2.454736842105264,8.837052631578949,6.789594053744996,500-1000
6215611,M,19/02/2017 07:47,776.3,237,11.4,170.3,3.275527426160337,11.791898734177217,5.088239082828803,500-1000
6215611,M,01/11/2016 09:30,815.9,291,0.0,136.7,2.803780068728522,10.09360824742268,5.94435592597132,500-1000
6215611,M,24/02/2016 10:43,32.6,12,0.0,,2.716666666666667,9.78,6.134969325153374,0-100
6215611,M,29/01/2016 19:16,787.2,291,1.0,,2.705154639175258,9.738556701030928,6.161077235772358,500-1000
6215611,M,29/01/2016 18:25,947.2,345,5.0,,2.745507246376812,9.88382608695652,6.070523648648649,500-1000
6215611,M,17/11/2015 19:09,767.7,313,3.0,,2.452715654952077,8.829776357827477,6.795189092961659,500-1000
6215611,M,03/11/2015 19:10,592.8,168,1.0,,3.5285714285714285,12.702857142857145,4.723346828609986,500-1000
6215611,M,13/10/2015 11:19,466.6,209,1.0,134.7,2.232535885167464,8.03712918660287,7.465352193170453,100-500
6215611,M,19/08/2015 09:40,272.3,122,69.0,,2.2319672131147543,8.035081967213115,7.467254253886645,100-500
6215611,M,19/08/2015 08:41,234.4,57,2.0,,4.112280701754386,14.80421052631579,4.052901023890785,100-500
6215611,M,04/06/2015 16:46,242.8,43,0.0,,5.646511627906977,20.32744186046512,2.9516749038989563,100-500
6215611,M,12/04/2015 06:20,309.6,94,0.0,114.2,3.293617021276596,11.857021276595743,5.060292850990526,100-500
6215611,M,12/02/2015 18:18,766.9,224,0.0,,3.423660714285714,12.325178571428571,4.868083626722302,500-1000
6215611,M,08/02/2015 07:55,422.4,174,0.0,,2.427586206896552,8.739310344827587,6.865530303030303,100-500
6215611,M,15/01/2015 12:13,539.0,105,0.0,179.8,5.133333333333334,18.48,3.2467532467532467,500-1000
6215611,M,15/01/2015 12:09,529.9,105,0.0,180.8,5.046666666666667,18.168,3.3025099075297226,500-1000
6215611,M,27/11/2014 18:14,99.5,17,0.0,,5.852941176470588,21.07058823529412,2.8475711892797326,0-100
6215611,M,13/11/2014 18:55,877.7,331,0.0,,2.65166163141994,9.545981873111783,6.285367057840568,500-1000
